label,ext_thumb,dirz_thumb,z_thumb,r_thumb,ext_index,dirz_index,z_index,r_index,ext_middle,dirz_middle,z_middle,r_middle,ext_ring,dirz_ring,z_ring,r_ring,ext_pinky,dirz_pinky,z_pinky,r_pinky,theta_index_middle,theta_middle_ring,theta_ring_pinky,theta_thumb_index,delta_index_middle,delta_index_ring,delta_thumb_index,ang_index_PIP,ang_index_DIP
X,0.290078,0.572225,1.050085,0.914986,0.269094,0.426056,0.52167,1.205265,0.270943,0.975513,0.811854,0.735011,0.336388,0.929752,0.654357,0.594839,0.341414,0.775767,0.607113,0.490889,1.112756,0.435989,0.852196,0.462711,0.943021,1.272886,1.238467,2.661565,1.523336
X,0.099928,0.614042,1.066739,0.957297,0.216173,0.363785,0.501146,1.348761,0.299548,0.891679,0.776658,0.728033,0.310863,0.770973,0.607868,0.726787,0.287925,0.922991,0.622795,0.676909,1.414113,0.341023,0.72583,0.34878,1.360248,1.677812,1.262206,2.322742,2.37477
X,0.208794,0.569313,0.891488,0.849505,0.213525,0.424715,0.455959,1.136721,0.207102,0.794408,0.560592,0.774096,0.337614,0.903172,0.415952,0.3338,0.346687,0.727604,0.436748,0.406716,0.536988,0.805963,0.381772,0.333978,0.487713,1.069844,0.929551,2.443281,2.285957
Y,0.057825,-0.136152,0.240733,1.239837,0.377768,0.479372,0.515412,0.598301,0.426901,0.590832,0.443526,0.538628,0.358671,0.714592,0.701705,0.743307,0.100027,0.34592,0.546612,1.430067,0.272222,0.364967,1.992067,2.778185,0.196901,0.269004,1.492332,1.793635,2.355139
Y,0.046384,-0.182371,-0.051657,1.315889,0.363092,0.706479,0.505676,0.49835,0.379097,0.90855,0.542775,0.486781,0.301471,0.990385,0.708607,0.727109,0.127854,-0.017459,0.081607,1.358964,0.426269,0.541613,1.552805,2.499024,0.212726,0.600766,1.330528,1.499884,2.300842
Y,0.081597,-0.206562,-0.094219,1.340395,0.360879,0.780988,0.464045,0.518499,0.37083,0.935592,0.543041,0.496829,0.260122,0.923417,0.729522,0.777639,0.13616,-0.075871,0.007812,1.359626,0.445737,0.596245,1.507172,2.264351,0.257483,0.680349,1.199475,1.389552,2.256644
Y,0.074545,-0.197705,0.025653,1.372419,0.357081,0.71771,0.592123,0.691695,0.377716,0.80755,0.625939,0.609559,0.33251,0.890968,0.832077,0.782033,0.083726,0.050212,0.173533,1.430615,0.217173,0.231451,1.914439,2.27784,0.276237,0.57128,1.293323,1.455229,2.474404
Q,0.060616,0.561353,1.053372,1.21881,0.198654,0.721203,1.13753,1.568531,0.337812,0.951916,0.567436,0.4684,0.38292,0.698486,0.45952,0.637055,0.374024,0.761749,0.41266,0.516908,1.076004,0.558441,0.842302,0.541569,1.269966,1.712462,0.984271,2.64424,2.529366
Q,0.111339,0.684177,1.121892,1.073002,0.188083,0.723969,1.19901,1.570297,0.349675,0.937515,0.555489,0.527739,0.313472,0.853661,0.452396,0.576298,0.387047,0.948189,0.285179,0.634468,0.559138,0.433809,0.256812,0.291863,1.101507,1.466724,0.95471,2.664406,2.598296
Q,0.318123,0.775099,1.462932,1.295804,0.264421,0.824041,1.343467,1.515445,0.362091,0.747444,0.668602,0.60428,0.651838,0.503998,0.468095,0.687296,0.453291,0.506574,0.468113,0.478523,1.228966,0.534027,0.905943,0.131094,1.514543,1.795211,0.901256,2.768762,1.813999
Q,0.052946,0.570707,0.836641,0.98127,0.27193,0.896139,0.96128,0.937334,0.384099,0.56563,0.401889,0.526335,0.414283,0.332383,0.223673,0.760122,0.391897,0.487569,0.262239,0.694657,1.074596,0.282584,0.361512,1.05801,0.958779,1.291306,0.649088,2.318925,2.564312
U,0.234309,0.375324,1.064393,0.939411,0.117784,0.061007,0.225428,1.598545,0.060327,0.133032,0.193042,1.716022,0.260391,0.995289,0.85495,0.701738,0.288225,0.896704,0.667007,0.576176,0.07239,1.431002,0.361602,0.92668,0.386779,1.635113,1.779006,2.878656,2.492397
U,0.248768,0.262982,0.880938,0.805402,0.10182,0.17648,0.372463,1.546477,0.074683,0.188492,0.277773,1.727631,0.253659,0.99207,0.912598,0.812544,0.260871,0.92799,0.726937,0.639387,0.039208,1.266058,0.390369,0.845805,0.380501,1.486332,1.652549,2.904274,2.609406
U,0.219445,0.321768,0.939537,0.846215,0.101635,0.225676,0.397702,1.427574,0.061273,0.321549,0.429697,1.558375,0.25095,0.992174,0.864779,0.740334,0.248844,0.925425,0.729462,0.654821,0.120967,1.170504,0.263756,0.706463,0.321263,1.341315,1.473446,2.916464,2.649269
U,0.248274,0.305183,0.957086,0.832951,0.115506,0.060383,0.225386,1.533091,0.092624,0.087324,0.130548,1.744179,0.253659,0.992197,0.90738,0.781891,0.279204,0.893927,0.669203,0.571949,0.075648,1.369614,0.388011,0.68892,0.342581,1.496994,1.587796,3.0141,2.566534
U,0.23876,0.283207,0.947262,0.837703,0.111397,0.09369,0.256423,1.496171,0.083501,0.111,0.163136,1.719586,0.257812,0.997928,0.852156,0.737686,0.284444,0.926493,0.651869,0.585237,0.099681,1.395188,0.373265,0.688602,0.337718,1.466421,1.598621,3.036583,2.583212
U,0.229645,0.269553,0.912311,0.819632,0.118017,0.027817,0.173846,1.463515,0.096699,0.021786,0.031367,1.697688,0.255185,0.987712,0.859412,0.763216,0.27004,0.923362,0.683431,0.600657,0.117544,1.39208,0.369066,0.64143,0.34018,1.423326,1.535227,3.037303,2.537797
U,0.234271,0.267978,0.966865,0.879125,0.116866,0.013798,0.167972,1.535694,0.093935,0.046534,0.0696,1.751479,0.264275,0.991521,0.877206,0.744465,0.272663,0.89133,0.6994,0.576364,0.089388,1.406151,0.408909,0.694386,0.339291,1.511795,1.612818,3.013031,2.567552
U,0.226668,0.275489,0.952107,0.855582,0.115149,0.021121,0.183252,1.567967,0.091418,0.062151,0.094497,1.784238,0.267938,0.998996,0.885513,0.74324,0.286511,0.921856,0.69927,0.604017,0.093719,1.46724,0.408962,0.686738,0.32427,1.603925,1.628339,2.982115,2.598328
U,0.259498,0.279775,0.905542,0.79564,0.115151,0.027083,0.186871,1.487313,0.075241,0.039541,0.057207,1.698249,0.257026,0.991462,0.859975,0.718169,0.276905,0.885507,0.668956,0.560432,0.103268,1.455453,0.369784,0.74403,0.339835,1.476984,1.586683,3.014489,2.59726
U,0.258815,0.222191,0.862878,0.792671,0.113438,-0.03171,0.110045,1.503771,0.060209,0.036692,0.052302,1.681648,0.274098,0.999515,0.848149,0.709699,0.269355,0.895573,0.69471,0.580052,0.09827,1.529369,0.429948,0.811122,0.32084,1.566828,1.703942,2.964679,2.597706
U,0.258603,0.145394,0.797594,0.764884,0.130669,-0.093798,0.03563,1.662508,0.12867,0.092999,0.140533,1.828596,0.243457,0.941573,0.892344,0.862267,0.286536,0.963569,0.708994,0.716996,0.187966,1.233822,0.300368,0.775174,0.411652,1.685579,1.732601,2.95969,2.478873
U,0.266024,0.163597,0.770525,0.713158,0.112412,0.048356,0.21344,1.555708,0.071418,0.12373,0.186532,1.764304,0.285969,0.990511,0.812081,0.668954,0.298427,0.891733,0.641738,0.590182,0.086754,1.584487,0.458362,0.838531,0.353458,1.679218,1.668622,3.025671,2.518331
U,0.234803,0.35511,1.062297,0.936022,0.111696,0.130566,0.322483,1.603368,0.074976,0.214191,0.320436,1.742104,0.27641,0.992418,0.869891,0.701511,0.3036,0.892379,0.696747,0.581965,0.089791,1.343994,0.346298,0.79882,0.336279,1.574996,1.678589,2.978889,2.508425
U,0.238571,0.346919,0.958999,0.856023,0.110429,0.031403,0.181899,1.505491,0.082645,0.132714,0.187996,1.658818,0.255259,0.987186,0.896567,0.765758,0.271062,0.85893,0.6976,0.569141,0.122914,1.329947,0.399825,0.789471,0.317189,1.498707,1.588449,3.027808,2.598283
U,0.26747,0.291305,1.020481,0.889875,0.126112,-0.015237,0.157041,1.682752,0.107207,0.106788,0.170908,1.886131,0.257229,0.968834,1.002698,0.914405,0.279299,0.938584,0.759266,0.671034,0.122287,1.27682,0.431341,0.775785,0.380123,1.695298,1.790172,2.862277,2.638641
U,0.229845,0.331061,1.027953,0.896187,0.103976,0.00313,0.161541,1.551855,0.091397,0.074669,0.113219,1.776992,0.242435,0.976558,0.997511,0.908867,0.255473,0.905502,0.748729,0.672427,0.088833,1.279165,0.310467,0.649594,0.351847,1.517418,1.572173,2.94852,2.68149
U,0.22223,0.339198,0.988772,0.869204,0.106947,0.179714,0.373059,1.462156,0.07249,0.218971,0.313566,1.669714,0.253348,0.991525,0.909899,0.790641,0.265246,0.919387,0.760419,0.657223,0.094584,1.225327,0.31964,0.684949,0.338911,1.371153,1.487768,2.938979,2.591843
U,0.219607,0.24485,0.905186,0.917767,0.132355,0.038101,0.175608,1.562118,0.142141,0.20045,0.28785,1.727745,0.222753,0.942223,0.914076,0.886273,0.262987,0.926011,0.725581,0.749873,0.170448,1.044158,0.153661,0.727137,0.373778,1.481012,1.57744,2.947957,2.408936
U,0.210432,0.294355,0.948961,0.872262,0.10226,0.121122,0.304819,1.496404,0.061875,0.141291,0.206423,1.715336,0.239113,0.97486,0.9938,0.890454,0.229236,0.891679,0.828695,0.699573,0.102893,1.222395,0.296417,0.758583,0.33914,1.377663,1.599671,2.954644,2.640019
U,0.229404,0.176417,0.716371,0.714494,0.08358,0.025564,0.140017,1.368681,0.072779,0.092611,0.12775,1.58918,0.231686,0.936626,0.743868,0.791059,0.23686,0.834597,0.656909,0.662155,0.131338,1.149609,0.444429,0.798223,0.305042,1.296413,1.439706,3.119276,2.599302
U,0.231894,0.004097,0.594027,0.679223,0.090742,-0.024114,0.090085,1.496302,0.096244,-0.001395,-0.002005,1.698779,0.26613,0.766641,0.598842,0.799587,0.309043,0.804359,0.497335,0.638015,0.081871,1.038797,0.52717,0.811192,0.462751,1.404297,1.56652,2.891107,2.662468
U,0.18865,0.179169,0.716888,0.671909,0.110638,0.192424,0.317273,1.352218,0.071884,0.258966,0.354149,1.568942,0.237383,0.964173,0.739272,0.765351,0.255744,0.93211,0.712469,0.682317,0.079233,1.051396,0.350555,0.696614,0.376702,1.222124,1.388394,3.004718,2.475818
U,0.205807,0.325694,1.05855,0.956911,0.123778,0.11041,0.295815,1.497918,0.052783,0.157679,0.226286,1.667629,0.220493,0.926646,0.975083,0.953107,0.220384,0.886498,0.920814,0.774068,0.054066,1.035488,0.28594,0.785915,0.38857,1.272354,1.588252,2.889377,2.397818
U,0.227973,0.389318,1.134969,0.970901,0.099903,0.232465,0.467744,1.589282,0.068406,0.363126,0.531985,1.672135,0.278265,0.978617,0.936445,0.745542,0.278388,0.88257,0.768352,0.608298,0.152376,1.211048,0.301448,0.739186,0.317647,1.522492,1.609093,2.922563,2.625341
U,0.228447,0.304958,0.97663,0.842404,0.099288,0.314588,0.546465,1.547207,0.08119,0.414356,0.602659,1.689282,0.266617,0.97004,0.95124,0.772652,0.282404,0.906199,0.751972,0.63317,0.129293,1.197442,0.228333,0.706811,0.330831,1.455459,1.501344,2.909221,2.641052
U,0.214059,0.233829,0.915036,0.888798,0.093733,0.250102,0.466989,1.498291,0.07354,0.279377,0.421081,1.727779,0.270174,0.995986,0.860681,0.727549,0.279171,0.920982,0.661714,0.578916,0.080902,1.220688,0.320579,0.858187,0.373354,1.353245,1.692371,2.947921,2.602868
U,0.202619,0.241115,0.85599,0.85258,0.09107,0.031896,0.171671,1.458465,0.050381,0.073843,0.106769,1.691623,0.23885,0.981542,0.915294,0.85399,0.223833,0.920233,0.861777,0.766532,0.062886,1.31478,0.362821,0.831835,0.386855,1.456882,1.641907,3.035574,2.618466
U,0.207983,0.260687,0.848158,0.802434,0.085108,-0.007131,0.114477,1.411247,0.060948,0.047751,0.067591,1.66048,0.241985,0.956258,0.831119,0.830221,0.25081,0.90646,0.683323,0.647751,0.082136,1.239575,0.380182,0.819427,0.368277,1.369505,1.587983,3.006085,2.710255
U,0.210363,0.21021,0.887492,0.847834,0.107023,0.009316,0.153112,1.499106,0.059923,0.056475,0.082734,1.711162,0.232821,0.962428,0.861993,0.837415,0.259076,0.923932,0.713511,0.70474,0.092881,1.268553,0.289918,0.751216,0.326567,1.455591,1.614864,3.003994,2.574264
P,0.086134,0.115205,0.456403,0.840224,0.097793,-0.058818,0.014217,2.040013,0.118369,0.181206,0.345234,2.039847,0.353579,0.393016,0.485423,0.913398,0.362633,0.457839,0.459877,1.011434,0.679045,2.153002,0.31898,0.380442,1.474161,2.896963,1.371719,2.855461,2.656219
P,0.089845,0.115225,0.458518,0.845173,0.100548,-0.036543,0.054636,2.060868,0.111747,0.207785,0.398758,2.055457,0.348431,0.450037,0.546986,0.934006,0.359533,0.511007,0.509475,1.0199,0.665907,2.115387,0.319918,0.369641,1.458339,2.91465,1.366165,2.865208,2.610916
P,0.063293,0.089532,0.396767,0.853419,0.106795,-0.076091,-0.030814,1.839846,0.117844,0.037838,0.069153,1.916561,0.362499,0.321588,0.328328,0.759504,0.375797,0.442208,0.29454,0.814273,0.722176,2.078925,0.453741,0.353645,1.444569,2.546215,1.15522,2.87799,2.526936
P,0.078224,0.045307,0.056567,0.60363,0.101212,0.259017,0.370042,1.784463,0.137314,0.526387,0.857587,1.697832,0.38085,-0.056035,-0.118886,0.646956,0.145525,-0.488117,-0.320428,0.534054,0.711334,2.045689,2.561785,0.426137,1.306846,2.38124,1.232539,2.950537,2.574306
P,0.091497,0.167798,0.415053,0.70109,0.094094,-0.082529,-0.052619,1.82313,0.124707,0.162579,0.264651,1.75091,0.355197,0.35238,0.360388,0.750655,0.358426,0.329816,0.245919,0.800706,0.613644,2.229464,0.397676,0.34135,1.170972,2.530245,1.293086,2.947975,2.689153
P,0.137408,0.119089,0.563511,0.839392,0.104637,-0.146489,-0.104048,1.843966,0.102651,0.283249,0.464759,1.744184,0.352536,0.636393,0.60389,0.797525,0.363281,0.60754,0.529282,0.878544,0.714358,2.017545,0.341856,0.45187,1.305892,2.569875,1.304762,2.903839,2.648032
P,0.122804,0.197757,0.633537,0.88458,0.108756,-0.152146,-0.103445,1.848312,0.104309,0.309325,0.520191,1.792199,0.359899,0.60276,0.5237,0.698658,0.368261,0.628635,0.49176,0.758459,0.723082,2.008974,0.457063,0.420159,1.332698,2.486473,1.31696,2.986383,2.63264
P,0.118289,0.23381,0.694591,0.952569,0.107813,-0.098797,-0.031574,1.932915,0.121166,0.3335,0.594,1.897366,0.361515,0.700924,0.629311,0.733962,0.343799,0.700267,0.583668,0.799729,0.728194,1.889774,0.4296,0.373964,1.410447,2.551847,1.364396,2.94697,2.625827
P,0.115537,0.072091,0.498174,0.801934,0.104561,-0.108466,-0.015792,1.755049,0.141169,0.281391,0.424441,1.607433,0.356468,0.591841,0.599199,0.802563,0.353766,0.532909,0.548799,0.938139,0.700226,2.027324,0.326444,0.341552,1.233029,2.487266,1.164077,2.960772,2.670788
P,0.118934,0.093733,0.491537,0.875905,0.114245,-0.19741,-0.200239,2.020742,0.137374,0.138947,0.250968,1.926248,0.355061,0.585229,0.641483,0.898933,0.369679,0.461609,0.527527,1.03467,0.700217,2.079561,0.39432,0.3729,1.430698,2.852499,1.377333,2.920943,2.641406
P,0.10625,0.144041,0.606822,0.926758,0.103574,-0.135917,-0.063797,1.910812,0.133487,0.331852,0.557039,1.760478,0.344993,0.648683,0.682946,0.827444,0.358566,0.592526,0.60029,0.887455,0.754156,1.935512,0.352365,0.32851,1.411022,2.643233,1.273362,3.017246,2.714333
P,0.104654,0.158094,0.647804,0.947088,0.106932,-0.113167,-0.043779,1.844883,0.13182,0.20429,0.346669,1.815928,0.343712,0.655893,0.682033,0.839389,0.348781,0.593678,0.601271,0.931083,0.631013,2.011849,0.455017,0.349215,1.245238,2.578238,1.245233,2.931979,2.644772
P,0.112481,0.116403,0.221245,0.425676,0.092928,0.349411,0.53016,1.698632,0.166272,0.674361,1.000918,1.543777,0.364255,0.16802,0.055044,0.687854,0.195832,-0.406068,-0.187925,0.527108,0.658642,1.834391,2.881397,0.305361,1.133277,2.29187,1.284744,3.052759,2.712646
P,0.123068,0.037845,0.372187,0.689384,0.104143,0.019716,0.130628,1.707351,0.114721,0.15876,0.234866,1.578264,0.354721,0.524111,0.417861,0.649902,0.338758,0.674728,0.429553,0.755591,0.543296,2.054203,0.493596,0.300266,1.033069,2.25304,1.121676,2.953328,2.584265
P,0.131344,0.196616,0.399761,0.656117,0.117564,0.240268,0.328396,1.447233,0.174932,0.739968,0.993334,1.366513,0.386145,0.233417,0.062464,0.491817,0.14214,-0.195894,-0.121769,0.735089,0.718903,1.831574,3.058794,0.264934,1.06704,1.85768,0.872887,2.802281,2.679231
P,0.054743,-0.099987,-0.12795,0.956941,0.109327,-0.030846,-0.035599,1.982545,0.125888,-0.329539,-0.613166,1.975078,0.344424,0.349902,0.305116,0.742463,0.306093,0.750382,0.343836,0.840967,0.53013,2.20128,0.547977,0.133715,1.156943,2.552054,1.041078,2.794439,2.617676
P,0.128948,0.05534,0.284676,0.721464,0.102677,0.358571,0.530716,1.653681,0.109323,0.432555,0.770874,1.875976,0.32233,-0.174132,-0.145899,0.651544,0.251501,-0.879114,-0.291905,0.699297,0.388907,1.879682,1.724881,0.443066,0.960608,2.043955,0.951312,2.894211,2.658853
P,0.15887,0.137541,0.633101,0.789535,0.09316,0.193985,0.389232,1.659859,0.103824,0.552604,0.864745,1.633284,0.345374,0.657342,0.612796,0.762395,0.340026,0.795436,0.606711,0.81662,0.55674,1.781959,0.304363,0.3452,1.019171,2.25771,1.051597,2.897533,2.669807
P,0.111512,0.129683,0.635829,0.788,0.116724,0.187709,0.402462,1.615556,0.118369,0.530074,0.812462,1.614879,0.347396,0.668594,0.683975,0.802216,0.331303,0.705404,0.657017,0.89223,0.515945,1.81094,0.220963,0.299897,0.928333,2.232801,1.004362,2.944154,2.449055
P,0.109952,0.082969,0.431773,0.740172,0.115699,-0.055312,0.020812,1.805418,0.110549,0.268471,0.428406,1.727882,0.357401,0.473308,0.439497,0.70011,0.351467,0.569219,0.420551,0.771022,0.56678,2.158507,0.443325,0.28939,1.088335,2.445015,1.215349,2.860583,2.628965
P,0.075137,0.119214,0.239687,0.729658,0.100884,0.31731,0.43849,1.59552,0.175076,0.484321,0.731262,1.524961,0.355923,0.064039,-0.033701,0.503837,0.342292,-0.816363,-0.141153,0.520056,0.600794,1.86113,1.691146,0.374816,1.07447,2.00771,1.071234,3.061981,2.672543
P,0.153571,0.11792,0.579174,0.770768,0.096655,0.323648,0.580459,1.6262,0.130146,0.600179,0.881216,1.514004,0.373314,0.518185,0.465068,0.687482,0.360072,0.539734,0.456914,0.784718,0.459475,1.914684,0.310923,0.513142,0.8555,2.188057,1.029923,3.073617,2.586037
P,0.099435,0.07938,0.467645,0.740558,0.108445,0.075922,0.239129,1.746875,0.125069,0.385224,0.548527,1.479194,0.377264,0.476287,0.446658,0.709109,0.336065,0.499942,0.462194,0.810865,0.589688,2.088224,0.405127,0.236784,1.05338,2.391396,1.150375,2.97477,2.629631
P,0.096937,0.292567,0.753195,0.94268,0.127994,-0.065687,0.037935,1.635057,0.123248,0.348928,0.491967,1.503879,0.33469,0.772501,0.651788,0.649511,0.321357,0.676803,0.521817,0.65731,0.635957,1.859799,0.400887,0.369103,1.060061,2.129882,1.167149,2.935598,2.511279
P,0.116518,0.073796,0.444578,0.81154,0.13906,-0.124185,-0.06557,1.723848,0.124104,0.245398,0.38424,1.659233,0.369271,0.538825,0.496259,0.760589,0.373922,0.360419,0.353797,0.887959,0.623649,2.088423,0.381522,0.228515,1.14142,2.429528,1.091464,2.738296,2.588757
P,0.104522,0.065196,0.387349,0.76878,0.110247,-0.151528,-0.127741,1.802682,0.11621,0.144736,0.237115,1.762281,0.36194,0.525083,0.479355,0.752268,0.358792,0.564848,0.418701,0.841872,0.570537,2.166197,0.349686,0.344334,1.099856,2.496013,1.207259,2.901129,2.647102
P,0.132014,0.076179,0.504218,0.859238,0.114494,-0.211622,-0.192965,1.807549,0.106314,0.237701,0.412214,1.848729,0.363202,0.648884,0.609786,0.783958,0.365312,0.604664,0.526592,0.86525,0.667527,2.047893,0.357812,0.38798,1.264518,2.528757,1.223427,2.902144,2.675389
P,0.111134,0.076493,0.439911,0.902709,0.117187,-0.245757,-0.281368,1.961527,0.09532,0.067432,0.130529,2.069846,0.36404,0.502507,0.50837,0.800212,0.36278,0.552518,0.492674,0.905155,0.638068,2.283569,0.358958,0.426743,1.36627,2.733076,1.303865,2.943366,2.610768
K,0.13127,0.128683,0.722864,0.904327,0.106052,0.447393,0.690352,1.612243,0.103712,0.675719,1.060582,1.635656,0.359739,0.696089,0.6177,0.693452,0.390775,0.412451,0.378546,0.74624,0.609426,1.623777,0.465548,0.669399,1.163485,2.052796,0.863729,2.977534,2.621628
K,0.139861,0.153942,0.792144,0.905951,0.119207,0.499172,0.760844,1.602411,0.108842,0.676959,1.060218,1.637817,0.338661,0.850278,0.764952,0.718564,0.389024,0.392729,0.382975,0.753132,0.639308,1.365644,0.704381,0.740442,1.228547,1.916519,0.887954,2.950101,2.602763
K,0.15678,0.106071,0.719388,0.879729,0.12603,0.549382,0.834206,1.598545,0.11148,0.654169,1.049731,1.693365,0.263429,0.98797,1.038901,0.934229,0.376257,0.419901,0.400352,0.705043,0.632351,0.9506,1.104675,0.837848,1.262207,1.718313,0.865684,2.938464,2.595416
K,0.133941,0.155849,0.805974,0.891675,0.103789,0.484374,0.736814,1.579406,0.107417,0.646569,0.996043,1.615374,0.343396,0.814539,0.72227,0.684839,0.388273,0.344624,0.354272,0.730554,0.623213,1.475744,0.693599,0.743883,1.197903,1.910146,0.915079,2.988092,2.681283
K,0.133783,0.166256,0.786273,0.931766,0.077504,0.490116,0.732504,1.603531,0.104563,0.678777,1.071825,1.650211,0.37774,0.472405,0.437489,0.708991,0.412185,0.367381,0.309593,0.733114,0.600733,1.897194,0.265297,0.698434,1.17796,2.149811,0.88671,3.097209,2.787321
K,0.129961,0.109438,0.698299,0.945281,0.079069,0.351635,0.570345,1.659442,0.087059,0.590079,0.948952,1.699579,0.372619,0.536917,0.494134,0.716712,0.403677,0.439908,0.350317,0.7327,0.623169,1.937424,0.280282,0.588745,1.215078,2.226737,0.885304,3.030505,2.74617
K,0.122702,0.025712,0.523639,0.917066,0.05312,0.27562,0.457017,1.641967,0.07301,0.438261,0.711606,1.727301,0.348436,0.618428,0.547119,0.733684,0.39056,0.645725,0.392132,0.693969,0.640829,1.99859,0.28784,0.590522,1.251063,2.217616,0.856001,3.095666,2.85015
K,0.120214,0.114996,0.623049,0.941256,0.062371,0.286634,0.489839,1.689854,0.065551,0.438613,0.730539,1.7662,0.350191,0.625026,0.576469,0.750157,0.381589,0.674464,0.436622,0.698927,0.620972,2.000426,0.32663,0.558002,1.231489,2.260702,0.906258,3.093681,2.773999
K,0.112002,0.159976,0.749474,0.925743,0.077191,0.460357,0.742421,1.676898,0.105898,0.612029,1.046341,1.788843,0.363635,0.525347,0.480614,0.720872,0.393669,0.40089,0.325633,0.72261,0.523061,1.921418,0.347101,0.642897,1.118407,2.227663,0.92338,3.079131,2.781536
K,0.134131,0.098564,0.629563,0.886637,0.074766,0.40819,0.650747,1.640065,0.10006,0.589883,0.963611,1.727497,0.367965,0.505326,0.443605,0.696295,0.390711,0.49066,0.36026,0.700561,0.492827,1.980782,0.308148,0.644537,1.027329,2.191301,0.869997,3.059491,2.761675
K,0.124702,0.201437,0.729649,0.854889,0.079196,0.376349,0.609696,1.625966,0.10219,0.694901,0.995169,1.487265,0.359218,0.636673,0.574382,0.663257,0.386531,0.581879,0.453119,0.702319,0.499212,1.667081,0.226807,0.553561,0.884574,2.058407,0.956738,2.972237,2.689384
K,0.107857,0.234482,0.86091,0.930353,0.106709,0.587072,0.898523,1.60151,0.106008,0.698397,1.153873,1.698439,0.36647,0.514725,0.552394,0.753454,0.387305,0.432816,0.401368,0.732165,0.382116,1.816692,0.245213,0.677512,0.883852,2.073095,0.837051,3.029236,2.65655
K,0.126354,0.053206,0.524146,0.830917,0.065141,0.341531,0.591759,1.710407,0.066396,0.483992,0.825795,1.809597,0.354287,0.599054,0.519884,0.678724,0.369116,0.610497,0.474368,0.775252,0.42695,1.993758,0.195481,0.622321,0.976396,2.213418,0.969365,3.083293,2.706579
K,0.14866,0.106999,0.644765,0.846601,0.068105,0.304162,0.499639,1.604644,0.074915,0.536092,0.852425,1.687102,0.371068,0.569798,0.49155,0.695489,0.340685,0.892598,0.549697,0.684531,0.462605,1.967491,0.554246,0.647477,0.960089,2.160026,0.958652,3.067313,2.71534
K,0.11437,0.199061,0.800174,0.904583,0.090099,0.446726,0.692673,1.610867,0.09509,0.663347,1.063145,1.676871,0.366861,0.510494,0.482052,0.743279,0.378293,0.650516,0.427671,0.628724,0.512343,1.8799,0.454213,0.693563,1.033593,2.188855,0.947661,3.022072,2.737308
K,0.14211,0.169907,0.702966,0.81964,0.105651,0.500086,0.691767,1.502323,0.105093,0.721351,1.064747,1.549514,0.37202,0.504512,0.450999,0.707426,0.160918,0.879643,0.801106,0.855094,0.508231,1.806848,1.525411,0.71311,0.964492,2.040992,0.82997,2.985278,2.665196
K,0.137169,0.190344,0.720793,0.8324,0.097352,0.468544,0.679563,1.546078,0.089764,0.647523,0.984099,1.604031,0.373404,0.537189,0.493376,0.717246,0.176995,0.860377,0.792828,0.858618,0.50887,1.868592,1.532716,0.660769,0.994252,2.084378,0.87213,3.027693,2.683709
K,0.164648,0.096749,0.628845,0.82694,0.079967,0.24677,0.428769,1.590378,0.102721,0.661541,0.972717,1.535277,0.372025,0.616033,0.558387,0.681586,0.389413,0.538096,0.441298,0.666393,0.645812,1.752763,0.34797,0.609782,1.102798,2.104132,0.938479,2.988512,2.646056
K,0.152109,0.162137,0.793396,0.928829,0.078534,0.420137,0.663316,1.604726,0.109209,0.76083,1.219679,1.643613,0.379058,0.517285,0.468935,0.663666,0.407298,0.381082,0.350966,0.736077,0.626035,1.733048,0.26626,0.656169,1.166793,2.118181,0.879947,3.082779,2.719586
K,0.144041,0.111555,0.694617,0.926715,0.091389,0.423832,0.688279,1.623843,0.111882,0.727313,1.199206,1.689277,0.374041,0.534308,0.482507,0.702799,0.403408,0.437539,0.358712,0.701136,0.615886,1.748534,0.385793,0.614114,1.172497,2.174047,0.814937,3.022538,2.650597
K,0.127375,0.232833,0.869888,0.962169,0.099091,0.465532,0.732252,1.596406,0.113097,0.781898,1.281386,1.673145,0.378268,0.490856,0.470038,0.699706,0.420184,0.35278,0.314631,0.671466,0.612854,1.725161,0.387097,0.563953,1.161481,2.144445,0.83686,3.014674,2.627625
K,0.134102,0.180574,0.79927,0.913851,0.077209,0.391395,0.614601,1.541986,0.113265,0.74461,1.175666,1.624026,0.372183,0.496745,0.473314,0.687112,0.417214,0.322719,0.309226,0.680976,0.626402,1.77954,0.362095,0.582445,1.148505,2.092955,0.835938,3.062308,2.694756
K,0.109384,0.10806,0.665449,0.925964,0.114804,0.36893,0.592692,1.581816,0.111274,0.67127,1.090039,1.681513,0.375344,0.525913,0.459324,0.673948,0.409395,0.275691,0.254182,0.650558,0.636575,1.817676,0.544664,0.519433,1.202521,2.132034,0.757887,2.847234,2.666559
K,0.133718,0.208299,0.777041,0.932982,0.088342,0.418737,0.621308,1.500135,0.122149,0.787961,1.198471,1.566665,0.389796,0.439859,0.387044,0.641176,0.440944,0.200025,0.210804,0.615216,0.635601,1.777192,0.472822,0.553751,1.125397,2.036334,0.753672,3.058815,2.673113
K,0.111179,0.19982,0.760433,0.951194,0.087386,0.409858,0.614476,1.510959,0.123675,0.73889,1.120529,1.58196,0.387345,0.484802,0.419113,0.651666,0.427807,0.224929,0.228479,0.627538,0.611962,1.803288,0.456946,0.512183,1.120606,2.037876,0.731102,3.023986,2.74503
