label,ext_thumb,dirz_thumb,z_thumb,r_thumb,ext_index,dirz_index,z_index,r_index,ext_middle,dirz_middle,z_middle,r_middle,ext_ring,dirz_ring,z_ring,r_ring,ext_pinky,dirz_pinky,z_pinky,r_pinky,theta_index_middle,theta_middle_ring,theta_ring_pinky,theta_thumb_index,delta_index_middle,delta_index_ring,delta_thumb_index,ang_index_PIP,ang_index_DIP
D,0.172713,0.528807,1.14009,1.029228,0.141068,-0.023333,0.093878,1.53357,0.260038,0.944032,0.791348,0.79365,0.262013,0.935672,0.705416,0.714752,0.226007,0.636208,0.565169,0.746859,1.265318,0.115331,0.522267,0.68633,1.277687,1.376885,1.584637,2.881423,2.567816
D,0.220891,0.390376,0.981892,0.881928,0.14008,-0.017638,0.101633,1.468424,0.272779,0.95719,0.885944,0.865119,0.29046,0.990781,0.775443,0.704821,0.264961,0.911108,0.734277,0.74548,1.303768,0.207232,0.291818,0.607597,1.283851,1.432049,1.477199,2.844737,2.540046
D,0.170695,0.462561,1.009999,0.912095,0.100073,-0.016383,0.109242,1.423567,0.287235,0.993229,0.813434,0.702361,0.235843,0.975509,0.800058,0.725331,0.217114,0.860085,0.597632,0.700548,1.497667,0.160184,0.317111,0.766807,1.361445,1.447554,1.428774,3.032239,2.651215
E,0.33436,0.281325,0.64081,0.506271,0.281717,0.994739,0.702849,0.685358,0.377546,0.999248,0.526487,0.440886,0.330523,0.992103,0.60053,0.534635,0.310249,0.904461,0.527554,0.639462,0.135576,0.112186,0.400709,1.187794,0.339684,0.553017,0.449962,1.871906,2.306115
E,0.369036,-0.025131,0.401435,0.370178,0.339842,0.879342,0.57941,0.502498,0.384978,0.956809,0.562791,0.435593,0.348478,0.963946,0.595056,0.526965,0.313988,0.980206,0.569841,0.646259,0.219708,0.143856,0.354236,1.541447,0.279466,0.497787,0.510606,1.700425,2.175115
E,0.315765,0.147677,0.497177,0.451075,0.330703,0.932377,0.536436,0.506908,0.392748,0.981251,0.499016,0.409933,0.342601,0.98968,0.571147,0.520078,0.298269,0.946312,0.561624,0.652437,0.305083,0.149424,0.436791,1.126394,0.24456,0.477366,0.501741,1.716051,2.158996
F,0.157209,0.359676,0.830139,0.974344,0.173378,0.939409,1.220172,1.302998,0.134053,0.053158,0.080059,1.732152,0.081071,-0.051298,-0.035589,1.676961,0.133075,0.029827,0.161661,1.417129,1.191098,0.262513,0.119824,0.86164,1.748668,2.002301,0.431343,2.225061,2.90235
F,0.144877,0.546843,0.996199,1.125275,0.176709,0.952813,1.35629,1.416029,0.067152,0.075516,0.125156,1.889357,0.08073,-0.14997,-0.174242,1.791596,0.142342,-0.110255,0.013068,1.575204,1.281697,0.292167,0.313585,0.760611,2.02754,2.329546,0.438441,2.324212,2.983196
F,0.269797,0.517535,0.894656,0.844581,0.247189,0.969632,1.062992,0.927903,0.062083,0.174558,0.250158,1.632925,0.053798,-0.03331,0.004966,1.570963,0.116707,-0.107344,0.005368,1.263426,1.527837,0.210392,0.167479,1.126694,1.785088,1.889747,0.27993,2.193299,2.696014
G,0.093012,0.362188,1.011227,1.171291,0.225565,0.95678,1.853589,1.978573,0.165574,0.909664,1.971396,2.228233,0.299516,0.858396,1.193791,1.197397,0.212047,0.852169,1.145813,1.11184,0.151649,0.699555,0.456111,1.021283,0.377416,1.000261,1.206131,2.783595,2.566009
G,0.086501,0.355682,0.756247,0.963866,0.092301,0.351741,0.65572,1.74247,0.385635,0.743433,0.448921,0.39574,0.395447,0.419647,0.302937,0.644071,0.391449,0.653558,0.408407,0.692927,1.90975,0.426714,0.560974,0.20943,1.872363,2.203386,1.078085,2.960097,2.976654
G,0.020914,0.495217,1.116442,1.162503,0.200588,0.816888,1.392026,1.649314,0.42861,0.41121,0.241664,0.326176,0.434766,0.296257,0.183692,0.830009,0.447077,0.376811,0.290222,1.006263,1.499211,0.128117,0.116178,0.646769,1.743149,2.054863,0.907566,2.664927,2.663383
E,0.331402,0.163593,0.614811,0.46352,0.318502,0.924156,0.656651,0.540723,0.381704,0.966615,0.608925,0.467579,0.326558,0.984375,0.726904,0.651083,0.281917,0.978192,0.660764,0.754733,0.245451,0.139624,0.379655,1.279767,0.255303,0.497257,0.256205,1.834305,2.215606
E,0.30497,0.432769,0.647621,0.570959,0.347679,0.938682,0.559832,0.514938,0.384448,0.987208,0.535649,0.451244,0.355189,0.951451,0.542826,0.502333,0.318257,0.934934,0.538988,0.617379,0.294702,0.231779,0.372579,1.065725,0.262377,0.463963,0.109949,1.898618,1.9054
E,0.326433,0.378083,0.556296,0.496193,0.31263,0.994262,0.612292,0.635253,0.386336,0.977749,0.543264,0.460449,0.343973,0.948657,0.593543,0.533708,0.282869,0.89226,0.643052,0.671895,0.300336,0.197467,0.444467,1.084703,0.325362,0.514012,0.248288,1.810325,2.089259
G,0.075048,0.630044,0.941414,1.118523,0.174869,0.871343,1.220637,1.50029,0.397633,0.757187,0.422876,0.426243,0.390869,0.547937,0.274182,0.517966,0.355069,0.626534,0.297348,0.539119,1.212195,0.283824,0.542608,0.393773,1.409152,1.710454,0.451029,2.961632,2.649021
G,0.12245,0.642578,0.857865,1.020423,0.164168,0.801138,1.152636,1.456386,0.567908,0.198578,0.006272,0.102086,0.580632,0.161518,-0.06056,0.405833,0.560482,-0.038979,0.007223,0.411519,1.940157,0.284678,1.482457,0.251885,1.466792,1.730283,0.634102,2.783551,2.68862
G,0.120195,0.541359,1.05617,1.415617,0.216061,0.974343,1.318036,1.422828,0.359503,0.878347,0.704196,0.655509,0.388998,0.737699,0.49225,0.661237,0.41461,0.822678,0.474873,0.651362,0.707558,0.243101,0.480002,0.775108,1.07969,1.473079,0.469557,2.682274,2.672535
H,0.205005,0.227698,0.869481,0.793125,0.1213,0.004063,0.155324,1.538975,0.0933,0.026218,0.041507,1.811842,0.272654,0.994554,0.893186,0.761811,0.300056,0.906855,0.748573,0.714878,0.122434,1.617635,0.456164,0.405007,0.349323,1.691086,1.34747,2.927939,2.623257
H,0.279748,0.161373,0.736942,0.618709,0.121975,0.237503,0.451593,1.445026,0.081926,0.25211,0.381541,1.711094,0.277438,0.975397,0.885309,0.763274,0.323338,0.803696,0.650886,0.737566,0.126924,1.52046,0.520992,0.523736,0.352791,1.578764,1.265272,2.876109,2.606874
H,0.229144,0.207312,0.766428,0.695697,0.117585,0.185297,0.383333,1.499908,0.072021,0.138103,0.209001,1.717988,0.257431,0.998881,0.971538,0.828027,0.299345,0.898367,0.752835,0.733049,0.150547,1.460444,0.407476,0.534965,0.340574,1.564164,1.232311,2.950477,2.532249
I,0.334371,0.068651,0.471141,0.452688,0.383063,0.770799,0.513204,0.43637,0.460694,0.901052,0.367363,0.230164,0.350625,0.936356,0.559325,0.492583,0.091522,0.127291,0.266482,1.269531,0.281489,0.197057,1.801234,1.482384,0.308145,0.477482,0.535267,1.607089,2.073606
I,0.320328,-0.126464,0.314197,0.356871,0.406558,0.608311,0.445589,0.406072,0.473528,0.754929,0.342464,0.215714,0.375904,0.792349,0.494613,0.466542,0.081627,0.427289,0.573321,1.260275,0.316292,0.22981,1.782527,1.707798,0.261812,0.407682,0.553785,1.680186,2.105963
I,0.246234,0.114081,0.52617,0.625027,0.381262,0.82087,0.570092,0.503517,0.420642,0.862254,0.484427,0.358608,0.308832,0.982692,0.671209,0.590809,0.069776,0.299789,0.448645,1.249462,0.190753,0.366242,1.45265,1.427532,0.280515,0.498339,0.73039,1.774176,2.094892
I,0.231782,0.204142,0.664346,0.581641,0.356407,0.777221,0.567497,0.515938,0.431147,0.835332,0.475098,0.33816,0.338703,0.800141,0.636364,0.524991,0.087289,0.522054,0.672486,1.208728,0.32667,0.282666,1.619433,1.719086,0.223942,0.316053,0.583905,1.613889,2.468587
K,0.105063,0.218261,0.782777,0.957616,0.109286,0.67394,0.943727,1.511241,0.128229,0.737862,1.127975,1.57045,0.378611,0.537695,0.464493,0.627836,0.415591,0.29201,0.269878,0.595049,0.576313,1.74364,0.468705,0.74465,1.135062,1.853004,0.637821,3.067899,2.727962
K,0.127465,0.084837,0.597902,0.881661,0.122449,0.668928,0.907122,1.451649,0.111995,0.697389,1.070831,1.589147,0.382332,0.53579,0.467341,0.6624,0.414295,0.352915,0.303376,0.668536,0.476383,1.797807,0.415254,0.822917,1.023907,1.861542,0.636158,3.035762,2.563507
K,0.140002,0.141279,0.687048,0.868593,0.085852,0.479512,0.723489,1.511097,0.148018,0.87561,1.219101,1.38458,0.372814,0.626265,0.577783,0.64913,0.370426,0.85834,0.602071,0.621085,0.603515,1.384071,0.498601,0.485114,0.89976,1.879974,0.712097,2.967785,2.770506
L,0.095701,-0.349322,-0.09886,1.246343,0.123628,0.325395,0.552565,1.531848,0.432598,0.578694,0.400848,0.462507,0.423502,0.471662,0.381336,0.600841,0.376908,0.757789,0.544031,0.758135,2.191303,0.228908,0.408963,0.965742,1.832996,2.011642,1.472898,2.910551,2.611779
L,0.081483,-0.295655,-0.147375,1.443331,0.11483,-0.071286,0.022017,1.502416,0.374375,0.800628,0.619396,0.601944,0.362271,0.726586,0.589365,0.667011,0.333641,0.93936,0.651299,0.781807,2.282603,0.18299,0.473934,0.919446,1.861862,2.010477,1.664195,3.045524,2.584259
L,0.059581,-0.068937,0.282656,1.524799,0.130442,-0.116804,-0.022254,1.583937,0.376302,0.957778,0.699276,0.577532,0.365674,0.801682,0.652775,0.58406,0.322091,0.90478,0.677842,0.674211,1.947101,0.354609,0.488372,0.97248,1.692762,1.946551,1.946051,2.936477,2.614018
M,0.273159,0.268985,0.655254,0.531233,0.404156,0.571983,0.336874,0.377048,0.462044,0.776306,0.286147,0.142957,0.445242,0.604266,0.310969,0.265039,0.43741,0.725109,0.342058,0.536699,0.331622,0.473345,0.204788,1.909821,0.304443,0.423018,0.492337,1.405051,2.010474
M,0.307798,0.164074,0.542373,0.473552,0.390068,0.53938,0.323352,0.411005,0.43208,0.730365,0.3021,0.200778,0.417094,0.623322,0.356554,0.352762,0.400467,0.73674,0.351365,0.55272,0.310037,0.278747,0.259623,1.94764,0.286583,0.473397,0.629883,1.255109,2.231232
M,0.093303,0.049835,0.39426,0.819906,0.38982,0.640401,0.382579,0.395162,0.446811,0.672956,0.309319,0.249751,0.418195,0.625945,0.384429,0.452903,0.403267,0.733599,0.389432,0.652519,0.14043,0.308374,0.211829,2.330181,0.300227,0.479573,0.781136,1.455958,2.254016
